,Case_Number,date_cn,Type,Activity,Country,Area,Location,Sex,Age,Injury,Fatal_(Y/N),Time,Species,original_order
54,2016.06.02.b,2016-06-02,UNPROVOKED,SPEARFISHING,AUSTRALIA,New South Wales,Kingscliff,M,,"No injury, but sharks repeatedly hit their fins and guns",,,BRONZE WHALER SHARKS X 3,5939
55,2016.06.02.a,2016-06-02,UNPROVOKED,KITE SURFING,NEW CALEDONIA,," Côte-Blanche, Nouméa ",M,,Laceration to heel,N,Afternoon,3 M SHARK,5938
56,2016.05.31,2016-05-31,UNPROVOKED,SURFING,AUSTRALIA,Western Australia,"Falcon Beach, Mandurah",M,29.0,FATAL,Y,16h00,WHITE SHARK,5937
57,2016.05.29.b,2016-05-29,UNPROVOKED,SWIMMING,USA,California,"Corona Del Mar, Newport, Orange County",F,52.0,Injuries to arm and shoulder,N,16h00,,5936
58,2016.05.29.a,2016-05-29,UNPROVOKED,SWIMMING,USA,Florida,"Neptune, Duval County",M,13.0,Injury to posterior right leg,N,15h45,5' SHARK,5935
59,2016.05.22,2016-05-22,UNPROVOKED,SWIMMING,USA,Florida,"Vero Beach, Indian River County",F,57.0,Puncture wounds to thigh,N,12h00,,5934
60,2016.05.21.b,2016-05-21,UNPROVOKED,SWIMMING,USA,Florida,"St. Petersburg, Pinellas County",F,22.0,Lacerations and puncture wounds to foot and ankle,N,18h00,"BULL SHARK, 4' TO 5'",5933
61,2016.05.21.a,2016-05-21,UNPROVOKED,SWIMMING,USA,Florida,"Hugenot Beach , Jacksonville, Duval County",F,11.0,"Back, arm & hand injured",N,17h46,,5932
62,2016.05.18,2016-05-18,UNPROVOKED,SWIMMING,USA,Florida,"Ponte Vedra, St. Johns County",M,48.0,Ankle bitten,N,Morning ,"BLACKTIP SHARK, 4'",5931
63,2016.05.15,2016-05-15,PROVOKED,TEASING A SHARK,USA,Florida,"Boca Raton, Palm Beach County",F,23.0,Arm grabbed PROVOKED INCIDENT,N,13h20,"NURSE SHARK, 2'",5930
64,2016.05.03,2016-05-03,UNPROVOKED,FLOATING,USA,Hawaii,"Wailea Beach, Maui",M,59.0,Minor lacerations to right shoulder,N,15h49,,5929
65,2016.05.02,2016-05-02,PROVOKED,FISHING,NEW ZEALAND,North Island,Cormandel,M,39.0,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"MAKO SHARK, 1.5 M [5']",5928
66,2016.04.25,2016-04-25,UNPROVOKED,SURFING,INDONESIA,Bali,Balian,M,24.0,Elbow bitten,N,07h00,"BULL SHARK, 6'",5927
67,2016.04.23,2016-04-23,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,15.0,Minor injury to left foot,N,17h30,,5926
68,2016.04.22,2016-04-22,UNPROVOKED,SURF-SKIING,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",M,,"No injury, surf-ski bitten",N,08h00,WHITE SHARK,5925
69,2016.04.19,2016-04-19,UNPROVOKED,SWIMMING,AUSTRALIA,New South Wales,"First Sun Beach, Byron Bay",M,12.0,Minor puncture wound to foot,N,12h00,WOBBEGONG SHARK,5924
70,2016.04.18,2016-04-18,PROVOKED,SPEARFISHING,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,M,26.0,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,,"GREY REEF SHARK, 2 M",5923
71,2016.04.13,2016-04-13,UNPROVOKED,SPEARFISHING,USA,Florida,"Off Singer Island, Palm Beach County",M,26.0,Multiple bites to right arm,N,,"BULL SHARK, 7'",5922
72,2016.04.09,2016-04-09,UNPROVOKED,WALKING,NEW CALEDONIA,Grand Terre,Poe Beach,F,69.0,FATAL,Y,10h45,"TIGER SHARK, 2.5 M",5921
73,2016.04.08,2016-04-08,INVALID,,CAPE VERDE,Boa Vista Island,,M,60.0,"""Serious""",N,,SHARK INVOLVEMENT NOT CONFIRMED,5920
74,2016.04.07.b,2016-04-07,UNPROVOKED,FISHING,USA,Florida,"Florida Keys, Monroe County",M,34.0,Left hand bitten,N,,5' TO 6' SHARK,5919
75,2016.04.07.a,2016-04-07,INVALID,SUP,USA,Florida,"Corners Beach, Jupiter, Palm Beach County",M,,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,,,5918
76,2016.03.31,2016-03-31,UNPROVOKED,SNORKELING,USA,Hawaii,"Olowalu, Maui",F,46.0,Minor injury to left foot,N,11h00,,5917
77,2016.03.30,2016-03-30,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Bombo Beach,M,22.0,Severe injury to thigh,N,19h00,,5916
78,2016.03.28.b,2016-03-28,UNPROVOKED,,USA,Florida,"Fort Myers Beach, Lee County",M,,Minor injury to arm. Possibly caused by smalll nurse shark,N,,SHARK INVOLVEMENT NOT CONFIRMED,5915
79,2016.03.28.a,2016-03-28,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,North Cronulla Beach,M,41.0,"No injury, board dented",N,11h00,,5914
80,2016.03.26,2016-03-26,PROVOKED,,BAHAMAS,,,M,9.0,Minor injury to chest PROVOKED INCIDENT,N,,"NURSE SHARK, 2.5-FT",5913
81,2016.03.13,2016-03-13,INVALID,SURFING,USA,California,"Bolsa Chica State Park, Orange County",,,Board reportedly bumped by shark. No injury,N,Morning,SHARK INVOLVEMENT NOT CONFIRMED,5912
82,2016.03.11,2016-03-11,UNPROVOKED,BODY SURFING,USA,Florida,"Vero Beach, St. Lucie County",M,19.0,Lacerations to right foot and ankle,N,13h30,,5911
83,2016.03.10,2016-03-10,UNPROVOKED,DIVING FOR BECHE-DE-MER,FIJI,Vanua Levu,,M,45.0,FATAL,Y,Afternoon,,5910
84,2016.03.04,2016-03-04,UNPROVOKED,,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",M,12.0,Superficial injury to foot,N,Afternoon,,5909
85,2016.03.03.R,2016-03-03,UNPROVOKED,FISHING,AUSTRALIA,South Australia,Wrights Bay,M,,Puncture wounds to right calf,N,Midnight,BRONZE WHALER,5908
86,2016.03.02,2016-03-02,UNPROVOKED,SWIMMING,BRAZIL,Santa Catarina State,Escalerio Beach Balneário Camboriú,M,41.0,Minor injury to head,N,,SANDTIGER SHARK,5907
87,2016.02.22,2016-02-22,UNPROVOKED,KITE SURFING,NEW CALEDONIA,South Province,"Ricaudy Reef, Noumea",M,21.0,Puncture wounds to right thigh,N,19h00,,5906
88,2016.02.19,2016-02-19,UNPROVOKED,SPEARFISHING,NEW CALEDONIA,South Province,Yate,M,31.0,Forearm bitten,N,16h00,,5905
89,2016.02.12,2016-02-12,UNPROVOKED,WADING,DOMINICAN REPUBLIC,Altagracia Province,"Bavaro Beach, Punta Cana",F,,Avulsion injury to lower leg,N,15h00,,5904
90,2016.02.10.R,2016-02-10,INVALID,FEEDING STINGRAYS?,CAYMAN ISLANDS,Grand Cayman,Stingray City Bar,M,65.0,Minor injury to wrist from Southern stingray,N,,NO SHARK INVOLVEMENT,5903
91,2016.02.10,2016-02-10,INVALID,SURFING,AUSTRALIA,Tasmania,Nettley Bay,M,,"No injury, knocked off board",N,12h30,NO SHARK INVOLVEMENT,5902
92,2016.02.05,2016-02-05,UNPROVOKED,WALKING,AUSTRALIA,Queensland,Stradbroke Island,F,45.0,Foot nipped,N,13h20,,5901
93,2016.02.04,2016-02-04,UNPROVOKED,WINDSURFING,AUSTRALIA,New South Wales,Hams Beach,M,40.0,"No injury, shark bit board",N,Late afternoon,,5900
94,2016.01.29,2016-01-29,BOATING,KAYAK FISHING,SOUTH AFRICA,KwaZulu-Natal,,M,,"No injury, shark capsized kayak",N,,,5899
95,2016.01.28,2016-01-28,UNPROVOKED,SURFING,USA,Hawaii,"Hanalei Bay, Kauai",M,,Lacerations to both hands,N,14h00,"REEF SHARK, 5'",5898
96,2016.01.25,2016-01-25,UNPROVOKED,SURFING,USA,Hawaii,"Hanalei Bay, Kauai, ",F,15.0,No injury,N,11h30,,5897
97,2016.01.24.b,2016-01-24,UNPROVOKED,SPEARFISHING,USA,Texas,Off Surfside,M,,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30 / 10h00,BULL SHARKS X 2,5896
98,2016.01.24.a,2016-01-24,BOATING,FISHING,UNITED ARAB EMIRATES,Fujairah Emirate,35 miles off Fujairah,M,,"No injury to occupants, shark leapt into boat",N,,MAKO SHARK,5895
99,2016.01.23,2016-01-23,UNPROVOKED,PADDLE BOARDING,USA,Hawaii,"Wailea Beach, Maui",M,48.0,No injury,N,Morning,"TIGER SHARK, 14'",5894
100,2016.01.11.R,2016-01-11,UNPROVOKED,SURFING,AUSTRALIA,Queensland,"Happy Valley Beach, Caloundra",M,,Laceration to right foot,N,,WOBBEGONG SHARK,5893
101,2016.01.05,2016-01-05,UNPROVOKED,WADING,AUSTRALIA,Queensland,Heron Island,M,11.0,Laceration to right calf,N,Afternoon,BLACKTIP SHARK,5892
102,2016.01.02,2016-01-02,UNPROVOKED,SPEARFISHING,AUSTRALIA,Queensland,Miall Island,M,31.0,Lacerations to arms & leg,N,11h30,3 M SHARK,5891
103,2015.12.26,2015-12-26,BOATING,KAYAK FISHING,SOUTH AFRICA,KwaZulu-Natal,Westbrook Beach,M,,"No injury, kayak damaged",N,Morning,"WHITE SHARK, 3 M",5890
104,2015.12.25,2015-12-25,UNPROVOKED,SWIMMING,SPAIN,Grand Canary Island,"Arinaga Beach, Aguimes, Gran Canaria",F,38.0,Lacerations to left forearm,N,,"SILKY SHARK, 6.5'",5889
105,2015.12.22,2015-12-22,UNPROVOKED,PADDLE BOARDING,USA,Hawaii,La'aloa Beach Park,M,71.0,"No injury, shark bit board",N,Morning,9' SHARK,5888
106,2015.12.21.b,2015-12-21,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,Bondi Beach,M,43.0,"No injury, shark leapt on surfboard",N,07h00,"BRONZE WHALER SHARK, 6'",5887
107,2015.12.21.a,2015-12-21,UNPROVOKED,SCUBA DIVING,BRAZIL,Pernambuco,Fernano de Noronha,M,32.0,Right hand & part of forearm removed,N,,"TIGER SHARK, 1.5 M",5886
108,2015.12.19,2015-12-19,UNPROVOKED,SEA DISASTER,ARUBA,,Boat capsized,M,58.0,FATAL,Y,,,5885
109,2015.12.13,2015-12-13,BOATING,FISHING,AUSTRALIA,New South Wales,Lake Macquarie,,,"No injury, shark rammed boat & bit motor",N,10h30,"WHITE SHARK, 3.5 M",5884
110,2015.12.11,2015-12-11,UNPROVOKED,LOBSTER FISHING,BAHAMAS,,Off Andros Island,M,26.0,"Bitten on thigh, abdomen & hand",N,,BULL SHARK,5883
111,2015.12.08,2015-12-08,UNPROVOKED,SWIMMING / WADING,SOUTH AFRICA,Eastern Cape Province,Mpande,F,22.0,Lacerations to both hands and forearms,N,Morning,,5882
112,2015.11.16,2015-11-16,UNPROVOKED,SURFING,USA,Florida,"Playalinda Beach, Brevard County",M,,Right heel injured,N,Afternoon,,5880
113,2015.11.15.b,2015-11-15,UNPROVOKED,SWIMMING,USA,Florida,"Palm Beach, Palm Beach County",F,,Leg injured,N,Morning,,5879
114,2015.11.15.a,2015-11-15,UNPROVOKED,SURFING,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",M,28.0,Lacerations to hand,N,,"SPINNER SHARK, 7'",5878
115,2015.11.10,2015-11-10,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,East Ballina,M,20.0,Injury to left thigh,N,18h15,"BULL SHARK, 2.8 TO 3.1 M",5877
116,2015.12.23,2015-12-23,INVALID,SURFING,USA,Florida,"Paradise Beach, Melbourne, Brevard County",F,9.0,Lower left leg injured,N,11h00,SHARK INVOLVEMENT NOT CONFIRMED,5876
117,2015.11.03,2015-11-03,UNPROVOKED,SWIMMING,USA,Hawaii,"Kehena Beach, Hawaii",M,54.0,Laceration to right ankle,N,11h00,,5875
118,2015.11.01.b,2015-11-01,UNPROVOKED,WADING,USA,Florida,"Cocoa Beach, Brevard  County",F,28.0,Injury to right ankle/calf & hand,N,14h00,3' TO 5' SHARK,5874
119,2015.11.01.a,2015-11-01,UNPROVOKED,FISHING,MOZAMBIQUE,Inhambane Province,Maxixe,M,19.0,"Arms severely injured, surgically amputated",N,04h00,,5873
120,2015.10.30,2015-10-30,UNPROVOKED,SPEARFISHING,AUSTRALIA,Western Australia,Bald Island,M,50.0,Minor injury,N,,,5872
121,2015.10.28.a,2015-10-28,UNPROVOKED,BODY BOARDING,USA,Hawaii,"Malaka, Oahu",M,10.0,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,,5871
122,2015.10.25,2015-10-25,UNPROVOKED,SURFING,SOUTH AFRICA,Western Cape Province,Stil Bay,M,42.0,"Lacerations to right calf, knee & hip",N,15h00,"WHITE SHARK, 3 TO 3.5M",5870
123,2015.10.21,2015-10-21,UNPROVOKED,SURFING,USA,Florida,"Playalinda Beach, Brevard County",M,21.0,Lacerations to left hand,N,14h30,5' SHARK,5869
124,2015.10.19,2015-10-19,UNPROVOKED,SURFING,USA,Florida,"Deerfield Beach, Broward County",M,21.0,Left foot bitten,N,13h50,"SPINNER SHARK, 5'",5868
125,2015.10.17.c,2015-10-17,UNPROVOKED,FISHING FOR SHRIMP,MOZAMBIQUE,Inhambane Province,"Nahaduga, Inhambane Bay",F,35.0,FATAL,Y,,,5867
126,2015.10.17.b,2015-10-17,INVALID,SURFING,USA,Hawaii,"Waikiki, ",M,32.0,Left foot bitten by eel,N,19h20,NO SHARK INVOLVEMENT,5866
127,2015.10.17.a,2015-10-17,UNPROVOKED,SWIMMING,USA,Hawaii,"Lanikai Beach, Kailua, Oahu",M,44.0,Injuries to lower legs,N,11h30,"TIGER SHARK, 7'",5865
128,2015.10.13,2015-10-13,BOATING,KAYAK FISHING,USA,California,"Off Leffingwell Landing, San Luis Obispo County",M,,"No injury, shark rammed kayak repeatedly",N,11h00,HAMMERHEAD SP.,5864
129,2015.10.09.b,2015-10-09,UNPROVOKED,BOOGIE BOARDING,USA,South Carolina,"Shipyard Beach Club, Hilton Head Island, Beaufort County",F,9.0,Laceration to forearm,N,16h20,,5863
130,2015.10.09.a,2015-10-09,UNPROVOKED,SURFING,USA,Hawaii,"Leftovers, Oahu",M,25.0,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"TIGER SHARK, 13'",5862
131,2015.10.08,2015-10-08,UNPROVOKED,FISHING,MOZAMBIQUE,Inhambane Province,"Maxixe, Inhambane Bay",M,,"Arm severely injured, surgically amputated",N,,,5861
132,2015.10.07,2015-10-07,UNPROVOKED,SURFING,AUSTRALIA,Western Australia,Pyramids Beach,M,18.0,Foot injured,N,16h50,,5860
133,2015.10.05.b,2015-10-05,UNPROVOKED,BODY BOARDING,USA,Florida,"Pepper Park Beach, St. Lucie County",M,22.0,2 lacerations to ankle,N,13h00,,5859
134,2015.10.05.a,2015-10-05,UNPROVOKED,WADING,USA,Texas,Galveston,M,13.0,Foot & hands bitten,N,10h00,4' TO 5' SHARK,5858
135,2015.10.04,2015-10-04,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,14.0,Severe lacerations to left hand,N,08h30,"BLACKTIP SHARK, 4' TO 5'",5857
136,2015.09.29,2015-09-29,UNPROVOKED,SURFING,USA,Florida,"Vilano Beach, St.  Johns County",M,22.0,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"BLACKTIP SHARK, 5' TO 6'",5856
137,2015.09.26,2015-09-26,UNPROVOKED,SNORKELING,AUSTRALIA,Queensland,"Russel Island, Frankland Group",F,7.0,Laceration to leg,N,Afternoon,,5855
138,2015.09.24,2015-09-24,UNPROVOKED,KAYAK FISHING,USA,California,"Horseshoe Rock, Santa Barbara County",M,,"No injury, kayak damaged",N,10h45-11h15,"WHITE SHARK, 19'",5854
139,2015.09.20.d,2015-09-20,UNPROVOKED,SURFING,USA,Florida,"New Smyrna Beach, Volusia County",M,14.0,Minor injury to left ankle,N,16h45,JUVENILE SHARK,5853
140,2015.09.20.c,2015-09-20,UNPROVOKED,SPEARFISHING,USA,Hawaii,"Upolu Point, North Kohala, Big Island",M,27.0,Severe laceration to left leg,N,15h52,"TIGER SHARK, 13'",5852
141,2015.09.20.b,2015-09-20,UNPROVOKED,WADING,USA,Florida,"Fernandina Beach, Amelia Island, Nassau County",M,12.0,Significant injuries to leg,N,12h30,4' SHARK,5851
142,2015.09.20.a,2015-09-20,UNPROVOKED,PHOTOGRAPHING FISH,USA,Florida,"Vilano Beach, St.  Johns County",M,16.0,Injury to right hand / wrist,N,07h30,,5850
143,2015.09.18,2015-09-18,UNPROVOKED,SWIMMING,USA,Florida,"Big Talbot Island, Duval County",M,,Lacerations to calf,N,19h00,,5849
144,2015.09.17,2015-09-17,UNPROVOKED,SURFING,USA,Florida,"Jacksonville Beach, Duval County",M,20.0,Injury to right foot,N,15h00,,5848
145,2015.09.08,2015-09-08,UNPROVOKED,SURFING,AUSTRALIA,New South Wales,North Shelly Beach,M,42.0,Minor laceration to hand,N,06h15,6' SHARK,5847
146,2015.09.06,2015-09-06,UNPROVOKED,STAND-UP PADDLEBOARDING,USA,California,"El Pescador Beach, Los Angeles County",F,50.0,"No injury, shark struck board, tossing her into the sea",N,17h30,"WHITE SHARK, 11' TO 12'",5846
147,2015.09.05,2015-09-05,PROVOKED,KAYAK FISHING,USA,California,"Deer Creek Beach, Ventura County",M,29.0,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40,HAMMERHEAD SHARK.,5845
148,2015.09.04,2015-09-04,UNPROVOKED,SURF-SKIING,AUSTRALIA,New South Wales,Hallidays Point,M,62.0,Inuries to lower left leg & ankle,N,11h30,"WHITE SHARK, 2.5 M",5844
149,2015.09.03,2015-09-03,UNPROVOKED,,USA,South Carolina,"Myrtle Beach, Horry County",M,,Right foot bitten,N,16h00,4' SHARK?,5843
150,2015.09.01,2015-09-01,UNPROVOKED,WADING,THAILAND,Phuket,Karon Beach,F,37.0,Left foot & ankle bitten,N,08h30,SMALL SHARK,5842
